,,,,2020 Complete Raw Enchantment Permit Lottery Data,,,,,,,,
Permit Type,Permit Type,Preferred Entry Date 1,Preferred Zone 1,Preferred Entry Date 2,Preferred Zone 2,Preferred Entry Date 3,Preferred Zone 3,Results Status,Awarded Preference,Awarded Entry Date,Awarded Entrance Code/Name,Awarded Group Size
Overnight Permit,6/26/2020,Colchuck Zone,6/26/2020,Core Enchantment Zone,,7/10/2020,Core Enchantment Zone,Unsuccessful,,,,
Overnight Permit,10/14/2020,Colchuck Zone,,,,,,Awarded,1,10/14/2020,Colchuck Zone,2
Overnight Permit,7/17/2020,Colchuck Zone,7/14/2020,Core Enchantment Zone,,7/24/2020,Stuart,Zone,Unsuccessful,,,
Overnight Permit,5/15/2020,Colchuck Zone,5/16/2020,Core Enchantment Zone,,9/7/2020,Stuart Zone (stock),Unsuccessful,,,,
Overnight Permit,9/7/2020,Colchuck Zone,8/14/2020,Core Enchantment Zone,,7/31/2020,Colchuck Zone,Unsuccessful,,,,
Overnight Permit,9/11/2020,Colchuck Zone,9/11/2020,Snow Zone,,9/11/2020,Stuart Zone (stock),Unsuccessful,,,,
Overnight Permit,6/15/2020,Colchuck Zone,7/6/2020,Core Enchantment Zone,,7/13/2020,Colchuck Zone,Unsuccessful,,,,
Overnight Permit,7/20/2020,Colchuck Zone,7/22/2020,Colchuck Zone,,7/21/2020,Colchuck Zone,Awarded,1,7/20/2020,Colchuck Zone,4
Overnight Permit,7/16/2020,Colchuck Zone,7/23/2020,Stuart,Zone,7/30/2020,Snow Zone,Unsuccessful,,,,
Overnight Permit,8/22/2020,Colchuck Zone,8/15/2020,Colchuck Zone,,9/5/2020,Core Enchantment Zone,Unsuccessful,,,,
Overnight Permit,8/14/2020,Colchuck Zone,8/21/2020,Colchuck Zone,,7/24/2020,Colchuck Zone,Unsuccessful,,,,
Overnight Permit,8/28/2020,Colchuck Zone,6/19/2020,Stuart,Zone,8/28/2020,Core Enchantment Zone,Unsuccessful,,,,
Overnight Permit,8/2/2020,Colchuck Zone,8/9/2020,Snow Zone,,7/26/2020,Core Enchantment Zone,Unsuccessful,,,,
Overnight Permit,8/10/2020,Colchuck Zone,8/9/2020,Snow Zone,,8/4/2020,Snow Zone,Unsuccessful,,,,
Overnight Permit,6/25/2020,Colchuck Zone,7/23/2020,Core Enchantment Zone,,8/13/2020,Colchuck Zone,Unsuccessful,,,,
Overnight Permit,10/10/2020,Colchuck Zone,9/26/2020,Colchuck Zone,,10/10/2020,Snow Zone,Unsuccessful,,,,
